Modelo,Custo,Peso (g),Horas Produtivas
Rede 3 camadas ocultas,229878.2,545254,2630.1
Rede 3 camadas ocultas,256418.8,808203,2943.63
Rede 3 camadas ocultas,281173.3,820648,3322.21
Rede 3 camadas ocultas,355476.6,864461,3540.46
Rede 3 camadas ocultas,368125.5,1307239,3566.69
Rede 3 camadas ocultas,380478.9,1363540,3604.14
Rede 3 camadas ocultas,462587.6,1431687,3672.0
Rede 3 camadas ocultas,490285.5,1602598,3851.96
Rede 3 camadas ocultas,642100.7,1620803,4229.10
Rede 3 camadas ocultas,644293.5,1802730,4634.79
